 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
274702,KENDALL,BU,345,=,7739,KNDLCNT 45B9,345,BG,JQ,,,,
274702,KENDALL,BU,345,=,7740,KNDLCNT 45B6,345,BG,JQ,,,,
274702,KENDALL,BU,345,=,7744,KNDLCNT45B10,345,BG,JQ,,,,
274703,KENDALL,RU,345,=,7743,KNDLCNT 45B1,345,BG,JQ,,,,
274703,KENDALL,RU,345,=,7742,KNDLCNT 45B2,345,BG,JQ,,,,
274703,KENDALL,RU,345,=,7741,KNDLCNT 45B5,345,BG,JQ,,,,
,,,,,,,,,,,,,
274759,LEE CO EC,,345,=,7716,BUS_3,345,BG,JQ,,,,
274759,LEE CO EC,,345,=,7717,BUS_2,345,BG,JQ,,,,
274759,LEE CO EC,,345,=,7718,BUS_1,345,BG,JQ,,,,
274759,LEE CO EC,,345,=,7719,Bus_4,345,BG,JQ,,,,
,,,,,,,,,,,,,
270700,CORDOVA,B,345,=,8103,TSS 345B1,345,BG,JQ,,,,
270700,CORDOVA,B,345,=,8104,TSS 345B2,345,BG,JQ,,,,
270700,CORDOVA,B,345,=,8105,TSS 345B3,345,BG,JQ,,,,
274698,CORDOVA,,345,=,7999,QC909 345B,345,BG,JQ,,,,
274698,CORDOVA,,345,=,8101,QC911 345B,345,BG,JQ,,,,
274698,CORDOVA,,345,=,8102,QC910 345B,345,BG,JQ,,,,
274698,CORDOVA,,345,=,8106,GENB1TR21&23,345,BG,JQ,,,,
274698,CORDOVA,,345,=,8107,GEN B2 TR_22,345,BG,JQ,,,,
,,,,,,,,,,,,,
274714,NELSON EC,BU,345,=,7725,TR_HS,345,BG,JQ,,,,
,,,,,,,,,,,,,
274750,CRETE EC,BP,345,=,199,BUS_2,345,BG,JQ,,,,
274750,CRETE EC,BP,345,=,213,BUS_1,345,BG,JQ,,,,
274750,CRETE EC,BP,345,=,216,BUS_3,345,BG,JQ,,,,
274750,CRETE EC,BP,345,=,217,TR1/2_HS,345,BG,JQ,,,,
274750,CRETE EC,BP,345,=,218,TR3/4_HS,345,BG,JQ,,,,
,,,,,,,,,,,,,
274749,AURORA EC,RP,345,=,3028,L_11119,345,BG,JQ,,,,
274749,AURORA EC,RP,345,=,3029,TR_1_2 HS,345,BG,JQ,,,,
274749,AURORA EC,RP,345,=,3030,L_14419,345,BG,JQ,,,,
,,,,,,,,,,,,,
274804,UNIV PK N,RP,345,=,219,L6608T,345,BG,JQ,,,,
274804,UNIV PK N,RP,345,=,220,L97008T,345,BG,JQ,,,,
274804,UNIV PK N,RP,345,=,222,TSS970HS,345,BG,JQ,,,,
274804,UNIV PK N,RP,345,=,9110,HS_BUS,345,BG,JQ,,,,
274805,UNIV PK N,1U,13.8,=,9111,970 GEN1,13.8,JQ,,"These twelve mapping assume that 1U correspond to GEN1, 2U correspond to GEN2",Y,,
274806,UNIV PK N,2U,13.8,=,9112,970 GEN2,13.8,JQ,,,Y,,
274807,UNIV PK N,3U,13.8,=,9113,970 GEN3,13.8,JQ,,,Y,,
274808,UNIV PK N,4U,13.8,=,9114,970 GEN4,13.8,RC,TK,,,,
